Voice Name (Persona),Category,Script Text,FILENAME,Question Only,Answer Only,Stability,Similarity,Style
Morning Firecracker,Preview,"[energetic] Wake up, everybody!,  This is Anna, and I'm bringing that loud, high-octane morning radio energy straight to your game! [short pause] If you want a host who keeps the momentum high, the crowd completely hyped, and the volume turned all the way up, I'm definitely your girl! [excited] Get your dabbers ready, because I'm hosting Movie Quotes Trivia Bingo and it's going to be an absolute blockbuster! [shouting] Grab your cards and let's play!",_00_PREVIEW_FIRECRACKER,N/A,N/A,0.8,0.8,0
Morning Firecracker,Host Audio,"[energetic] Welcome everybody!... It's about that time! [short pause] We're officially switchin' gears for this next game to Movie Quotes Trivia Bingo, presented by AMI Entertainment! [short pause] Instead of regular numbers, I'll be testin' your Hollywood knowledge and callin' out trivia questions... and all the answers are mixed up right there on your cards! [excited] Tonight's all about celebratin' the absolute best blockbusters, comedies, and dramas from the two-thousands all the way to today! [short pause] Callin' all millennials, this is your time to shine! [playful] But don't worry if you aren't a hardcore film critic! This is all about havin' fun, so everybody's got a shot!... [energetic] I'll be callin' out each question three times, givin' you plenty of time to figure it out and mark your squares! [laughing] And, tonight we're keepin' things casual, so if you're stumped, I'll even call out the answer before movin' on to the next question! [energetic] Don't be shy about askin' your friends and neighbors for help, we're all in this together! [short pause] If you don't have a card yet, go ahead and wave down your host, and make sure you ask 'em what the winning pattern is tonight!   Alright, let's see who the lucky ones are, 'cause here we go!",00_HOST_1_START_FIRECRACKER,N/A,N/A,0.8,0.8,0
Morning Firecracker,Host Audio,"[playful] Alright, that's five questions down! [short pause] This is Anna, makin sure you are warming up those cinematic brains! [energetic] Let's keep the trivia rolling!",00_HOST_5_QUESTIONS_IN_FIRECRACKER,N/A,N/A,0.8,0.8,0
Morning Firecracker,Host Audio,"[excited] That makes fifteen questions in the books! [short pause] If your board is looking a little empty, don't panic! [shouting] Anna, is still on the mic, and we have plenty of movie magic left to go!",00_HOST_15_QUESTIONS_IN_FIRECRACKER,N/A,N/A,0.8,0.8,0
Morning Firecracker,Host Audio,[intense] Twenty-five questions down! [short pause] We're officially a third of the way through the game! [energetic] Keep your eyes peeled and your dabbers ready!,00_HOST_25_QUESTIONS_IN_FIRECRACKER,N/A,N/A,0.8,0.8,0
Morning Firecracker,Host Audio,"[laughing] We just hit thirty-five questions! [short pause] We're nearing the halfway mark, folks! [excited] Grab a quick sip of your drink, and let's jump right back into the action!",00_HOST_35_QUESTIONS_IN_FIRECRACKER,N/A,N/A,0.8,0.8,0
Morning Firecracker,Host Audio,"[shouting] Fifty-five questions in the bag! [short pause] We’re in the final stretch, and those boards have to be filling up! [intense] Who's going to take home the blockbuster win tonight?!",00_HOST_55_QUESTIONS_IN_FIRECRACKER,N/A,N/A,0.8,0.8,0
Morning Firecracker,Host Audio,"[intense] That's it folks!...  I've called them all!... [pause]We're officially finished the seventy-fifth and final question of the game! [excited] Look, if you haven't yelled out bingo by now, your card's gotta be completely packed but something was missed somewhere! [pause] Next time let's keep your eyes on the prize to make sure we have a winner! [warmly] I wanna say a massive thank you to everybody for playin' along with us tonight! [short pause] That wraps up this round of Movie Quotes Trivia Bingo, brought to you by AMI Entertainment! [energetic] Make sure you keep your ears open to see when our next game is gettin' started!",00_HOST_75_QUESTIONS_IN_FIRECRACKER,N/A,N/A,0.8,0.8,0
Morning Firecracker,Name That Blockbuster,"[excited] Turn the volume up for this one! [short pause] What historical epic gave us the iconic line... [loudly] ARE YOU... NOT... ENTERTAINED?! [long pause] Second time around, we're lookin' for what movie featured a gladiator yelling, [shouting] ARE YOU... NOT... ENTERTAINED?! [long pause] Last call! [short pause] What historical epic gave us the iconic line, [loudly] ARE YOU... NOT... ENTERTAINED?! [long pause] The answer we're lookin' for is Gladiator! [short pause] That's Gladiator! [laughs] Russell Crowe's legendary performance won him the Academy Award for Best Actor!",Gladiator_BLOCKBUSTER_FIRECRACKER,What historical epic gave us the iconic line ARE YOU NOT ENTERTAINED?,Gladiator,0.8,0.8,0
Morning Firecracker,Name That Blockbuster,"[energetic] Alright, let's keep the trivia rolling! [short pause] What massive fantasy adventure featured a wizard screaming, [shouting] YOU... SHALL NOT... PAAAAASSSS!! [long pause] Second time around, we're lookin' for what movie gave us Gandalf yelling, [loudly] YOU... SHALL NOT... PAAAAASSSS!! [long pause] Final time on this one! [short pause] What massive fantasy adventure featured a wizard screaming, [shouting] YOU... SHALL NOT... PAAAAASSSS!! [long pause] Check your cards for The Lord of the Rings! [short pause] That's The Lord of the Rings! [excited] Ian McKellen's delivery of that line instantly became an unforgettable piece of pop culture history!",Lord_Of_The_Rings_BLOCKBUSTER_FIRECRACKER,What massive fantasy adventure featured a wizard screaming YOU SHALL NOT PASS?,The Lord of the Rings,0.8,0.8,0
